Datum,BundeslandID,Name,BestaetigteFaelleBundeslaender,Todesfaelle,Genesen,Hospitalisierung,Intensivstation,Testungen,TestungenPCR,TestungenAntigen,TestungenPCRTaeglich,HospitalisierungTaeglich,Neuinfektionen,Positivrate
2021-12-24,6,Steiermark,150754,2460,144481,162.0,49,16140249,2686035,13454214,14379.0,-32.0,220.0,1530.0090409625147
2021-12-24,7,Tirol,119056,800,114510,132.0,47,7201703,1781045,5420658,8492.0,-22.0,244.0,2873.29251059821
2021-12-24,8,Vorarlberg,62677,422,59532,63.0,18,5582017,419346,5162671,622.0,-5.0,115.0,18488.745980707394
2021-12-24,9,Wien,237101,2777,226944,291.0,84,34672854,27505964,7166890,246778.0,-34.0,584.0,236.64994448451645
2021-12-24,10,Österreich,1262836,13626,1218605,1223.0,390,119923778,41767181,78156597,349791.0,-141.0,2085.0,596.0702247913754
2021-12-25,1,Burgenland,31630,434,30639,44.0,11,3630911,632164,2998747,11552.0,3.0,46.0,398.1994459833795
2021-12-25,2,Kärnten,83398,1083,80753,117.0,30,5592981,813620,4779361,3792.0,9.0,99.0,2610.759493670886
2021-12-25,3,Niederösterreich,218266,2541,210918,217.0,67,19578723,3577137,16001586,16049.0,-1.0,317.0,1975.2009470995079
2021-12-25,4,Oberösterreich,259077,2332,253025,147.0,59,19086057,2838536,16247521,27552.0,-1.0,211.0,765.8246225319396
2021-12-25,5,Salzburg,101643,782,99097,56.0,18,8527942,1584918,6943024,12639.0,-4.0,93.0,735.8177070970804
2021-12-25,6,Steiermark,150925,2460,144865,161.0,51,16221822,2763290,13458532,77255.0,-1.0,171.0,221.34489677043558
2021-12-25,7,Tirol,119318,800,114853,131.0,48,7215118,1792253,5422865,11208.0,-1.0,262.0,2337.615988579586
2021-12-25,8,Vorarlberg,62801,423,59842,61.0,17,5584407,420184,5164223,838.0,-2.0,124.0,14797.136038186158
2021-12-25,9,Wien,237495,2779,227441,272.0,82,34776326,27607188,7169138,101224.0,-19.0,394.0,389.2357543665534
2021-12-25,10,Österreich,1264553,13634,1221433,1206.0,383,120214287,42029290,78184997,262109.0,-17.0,1717.0,655.0709819197357
2021-12-26,1,Burgenland,31660,434,30693,47.0,11,3636947,637080,2999867,4916.0,3.0,30.0,610.2522375915379
2021-12-26,2,Kärnten,83489,1084,80944,112.0,28,5594634,815273,4779361,1653.0,-5.0,91.0,5505.1421657592255
2021-12-26,3,Niederösterreich,218626,2546,211408,223.0,66,19599528,3594279,16005249,17142.0,6.0,360.0,2100.1050052502624
2021-12-26,4,Oberösterreich,259030,2335,253164,146.0,60,19126334,2871485,16254849,32949.0,-1.0,285.5,915.5985294897571
2021-12-26,5,Salzburg,101758,784,99187,56.0,17,8529102,1585923,6943179,1005.0,0.0,115.0,11442.786069651742
2021-12-26,6,Steiermark,151123,2463,145260,162.0,52,16242302,2778207,13464095,14917.0,1.0,198.0,1327.3446403432326
2021-12-26,7,Tirol,119591,800,115133,133.0,49,7229276,1802878,5426398,10625.0,2.0,273.0,2569.4117647058824
2021-12-26,8,Vorarlberg,62903,424,59910,56.0,17,5587155,420846,5166309,662.0,-5.0,102.0,15407.85498489426
2021-12-26,9,Wien,237923,2780,227929,272.0,83,34862341,27690339,7172002,83151.0,0.0,428.0,514.7262209714856
2021-12-26,10,Österreich,1266103,13650,1223628,1207.0,383,120407619,42196310,78211309,167020.0,1.0,1550.0,928.0325709495869
2021-12-27,1,Burgenland,31695,437,30717,51.0,11,3641157,638839,3002318,1759.0,4.0,35.0,1989.7669130187608
2021-12-27,2,Kärnten,83609,1087,81105,120.0,23,5609938,823682,4786256,8409.0,8.0,120.0,1427.0424545130218
2021-12-27,3,Niederösterreich,218938,2551,211807,215.0,62,21500748,5211614,16289134,16537.5,-8.0,312.0,19.290994135414124
2021-12-27,4,Oberösterreich,259390,2341,253748,132.0,55,19179068,2905276,16273792,33791.0,-14.0,360.0,1065.3724364475747
2021-12-27,5,Salzburg,101846,784,99447,55.0,18,8566728,1597079,6969649,11156.0,-1.0,88.0,788.8131946934385
2021-12-27,6,Steiermark,151382,2465,145584,164.0,49,16282634,2806871,13475763,28664.0,2.0,259.0,903.5724253418923
2021-12-27,7,Tirol,119961,801,115457,139.0,51,7247572,1818352,5429220,15474.0,6.0,370.0,2391.1076644694326
2021-12-27,8,Vorarlberg,63069,424,60141,52.0,16,5591609,422218,5169391,1372.0,-4.0,166.0,12099.125364431487
2021-12-27,9,Wien,238629,2782,228419,271.0,87,34984446,27810217,7174229,119878.0,-1.0,706.0,588.9320809489648
2021-12-27,10,Österreich,1268519,13672,1226425,1199.0,372,122603900,44034148,78569752,201185.5,-8.0,2416.0,131.45881193010484
2021-12-28,1,Burgenland,31788,438,30825,51.0,12,3648689,644344,3004345,5505.0,0.0,93.0,1689.3732970027247
2021-12-28,2,Kärnten,83719,1090,81240,116.0,22,5620459,834030,4786429,10348.0,-4.0,110.0,1063.0073444143795
2021-12-28,3,Niederösterreich,219502,2556,212264,207.0,62,21524035,5227547,16296488,15933.0,-8.0,564.0,3539.8230088495575
2021-12-28,4,Oberösterreich,259793,2342,254103,127.0,57,19211027,2931860,16279167,26584.0,-5.0,403.0,1515.9494432741499
2021-12-28,5,Salzburg,102051,785,99622,50.0,18,8596373,1614135,6982238,17056.0,-5.0,205.0,1201.923076923077
2021-12-28,6,Steiermark,151733,2465,145930,153.0,43,16360370,2836821,13523549,29950.0,-11.0,351.0,1171.9532554257096
2021-12-28,7,Tirol,120442,802,115836,125.0,45,7262098,1830405,5431693,12053.0,-14.0,481.0,3990.707707624658
2021-12-28,8,Vorarlberg,63201,426,60366,46.0,12,5598236,426294,5171942,4076.0,-6.0,132.0,3238.4690873405298
2021-12-28,9,Wien,239541,2785,229261,272.0,82,35099844,27924063,7175781,113846.0,1.0,912.0,801.0821636245454
